Names,Ebay Url,Time,Amazon,Amazon Url
cayennestore,https://www.ebay.com/itm/323804227741,31:35.5,,
cayennestore,https://www.ebay.com/itm/323689698024,31:35.6,,
cayennestore,https://www.ebay.com/itm/323737300184,31:35.7,,
cayennestore,https://www.ebay.com/itm/323816680703,31:35.8,,
cayennestore,https://www.ebay.com/itm/323849668392,31:35.9,,
*omer*store*,https://www.ebay.com/itm/303160738399,31:43.2,,
riverflowless,https://www.ebay.com/itm/153483138601,31:50.5,,
riverflowless,https://www.ebay.com/itm/153326584827,31:50.6,,
riverflowless,https://www.ebay.com/itm/153278176278,31:50.6,,
riverflowless,https://www.ebay.com/itm/153503339490,31:50.8,,
riverflowless,https://www.ebay.com/itm/153572344686,31:50.8,,
hemetus,https://www.ebay.com/itm/163460902051,32:39.8,,
hemetus,https://www.ebay.com/itm/163411230370,32:39.9,,
hemetus,https://www.ebay.com/itm/163486104496,32:40.1,,
hemetus,https://www.ebay.com/itm/163612314821,32:40.2,,
hemetus,https://www.ebay.com/itm/163709109803,32:40.3,,
hemetus,https://www.ebay.com/itm/163751988816,32:40.4,,
hemetus,https://www.ebay.com/itm/163770997625,32:40.5,,
bigdealsandmore,https://www.ebay.com/itm/293051312149,2019-07-22 18:41:23.292,,
bigdealsandmore,https://www.ebay.com/itm/293051319633,2019-07-22 18:41:23.378,,
bigdealsandmore,https://www.ebay.com/itm/293056978302,2019-07-22 18:41:23.455,,
bigdealsandmore,https://www.ebay.com/itm/293098840094,2019-07-22 18:41:23.542,,
bigdealsandmore,https://www.ebay.com/itm/293142628229,2019-07-22 18:41:23.628,,
